id	text	event1	event2	event3	event4	event5	event6	event7	event8
15	I dag legger helsemyndighetene frem oppdaterte råd for ferie- og fritidsreiser i Norge. Rådene skal bidra til at det er trygt å reise på ferie i Norge i sommer.	False	False	False	False	False	False	False	False
16	 Det anbefales at passasjerene sitter eller står spredt. Ved lengre reiser bør man ha plassbestilling.	False	False	False	True	False	False	False	False
17	Regjeringens plan og justering av koronatiltak	False	False	False	False	False	False	False	False
18	Mange butikker og bedrifter står uten kunder som følge av smitteverntiltak.	False	False	False	False	False	False	False	False
19	ersoner med lett forhøyet risiko kan i utgangspunktet reise som andre, men må være ekstra oppmerksomme på de generelle smitteverntiltakene. Det betyr for eksempel at mange besteforeldre kan feriere sammen med barn og barnebarn, selv om de er i gruppen med lett forhøyet risiko.	False	False	False	False	False	False	False	False
20	Reiser uten plassbestilling: Virksomheten må utarbeide rutiner for å hindre trengsel på sine transportmidler.	False	False	False	False	False	False	False	False
21	Nye råd om ferie- og fritidsreiser	False	False	False	False	False	False	False	False
22	I dag har også Utenriksdepartementet forlenget sitt reiseråd og fraråder fortsatt reiser som ikke er strengt nødvendige til alle land. Rådet gjelder frem til 20. august.	False	False	False	True	False	False	False	False
23	Utbredelsen av koronaviruset påvirker hele nasjonen, jobbhverdagen vår og privatlivet vårt. Derfor er det viktig at vi kan finne løsninger sammen, sier Astrup.	False	False	False	False	False	False	False	False
24	Norge har forlenget gjeninnføringen av grensekontroll på indre Schengen-grense på grunn av smittesituasjonen.	False	False	False	False	False	False	True	False
25	Dennne særloven innebærer ikke en innstramming av reglene og rådene fra 15. mai. Lovforslaget gir kun et nytt hjemmelsgrunnlag for å videreføre forskrifter som legger begrensninger på adgangen til innreise til Norge.	False	False	False	False	False	False	True	False
26	Dersom du har vært i nær kontakt med noen som har fått påvist koronavirus, skal du være i karantene i 14 dager.	False	False	True	False	False	False	False	False
27	Han understreker at vi må fortsette med de enkle tiltakene som vi vet virker og som har få negative konsekvenser: være nøye med håndvask og hostehygiene, holde minst én meter avstand og være hjemme når vi er syke.	False	False	True	False	False	False	False	False
28	f) utlendingen er gitt oppholdstillatelse i Norge etter utlendingslovens bestemmelser om familieinnvandring, og referansepersonen er norsk borger eller utlending som er bosatt i Norge eller for øvrig har rett til innreise etter forskriften her.	False	False	False	False	True	False	False	False
29	Vi åpner nå for at blant annet utlendinger som har fått oppholdstillatelse for å arbeide eller studere her, kan reise til Norge nå, sier Mæland.	False	False	False	False	True	False	False	False
30	I løpet av neste uke skal alle grunnskoler og videregående skoler åpne for alle trinn.	False	False	False	True	False	False	False	False
31	Det er også viktig at befolkningen får forsyninger av mat og medisiner. Flere kommuner har nå justert reglene sine og innført unntak som gjør dette mulig.	True	False	False	False	False	False	False	False
32	Helsepersonell som jobber med pasientbehandling forbys å reise til utlandet	False	False	False	True	False	False	False	False
33	Den 16. mars gjeninnførte Norge kontroll på indre grense som et tiltak for å begrense spredningen av Covid-19. Det er besluttet at tiltakene skal videreføres i 20 nye dager fra og med 15. april kl. 08.00.	False	False	False	False	False	False	True	False
34	Innreisekarantenen skal hindre at smittede tilreisende smitter andre.	False	False	True	False	False	False	False	False
35	Frem til nå har det bare vært adgang til innreise for sesongarbeidere i landbruket eller grøntnæringen.	False	False	False	False	False	False	False	False
36	Personer med akutt luftveisinfeksjon med feber, hoste eller tungpustethet, eller som lege mistenker har covid-19, som er: pasient med behov for innleggelse, pasient/beboer i sykehjem eller annen helseinstitusjon, ansatt i helsetjenesten med pasientnært arbeid, over 65 år, eller voksen som har alvorlig, underliggende sykdom, i karantene pga nærkontakt til et bekreftet tilfelle av covid-19, eller etter reise, ansatt, barn eller elev i gjenåpnet barnehage, skole eller skolefritidsordning.	False	False	False	False	False	False	False	False
37	Fra 1. juli åpnes det for at alle tredjelandsborgere som har fått oppholdstillatelse etter reglene om arbeidsinnvandring kan reise inn i Norge.	False	False	False	False	True	False	False	False
38	Fraråder reiser som ikke er strengt nødvendige til alle land	False	False	False	True	False	False	False	False
39	Helsesystemene i land med smitteutbrudd opplever stor belastning.Når situasjonen endrer seg så raskt, er det riktig å gi dette rådet, sier utenriksminister Ine Eriksen Søreide.	False	False	False	False	False	False	False	False
40	Regelendringene vi nå har gjennomført er viktige for å lette flyten av arbeidskraft, og vil bidra til mindre usikkerhet knyttet til hvem som har rett til innreise og hvem som risikerer å bli bortvist, sier Mæland.	False	False	False	False	True	False	False	False
41	 Som regjeringen annonserte 15. mai, må vi fremdeles være forberedt på en viss bruk av innreiserestriksjoner fremover.	False	False	False	False	False	False	False	False
42	Vi må vi fortsette dugnaden for å slå ned smitten. Vi vet det koster, men folk over hele landet følger opp. Det vil jeg takke for. Vi har kommet oss gjennom tøffe tider før. Det skal vi klare nå også, sier statsministeren.	False	False	False	False	False	False	False	False
43	Koronasituasjonen: Ny hjemmel for innreiserestriksjoner	False	False	False	False	False	False	True	False
44	God hostehygiene: Unngå å hoste og nyse i retning av medpassasjerer. Dersom du må hoste eller nyse bør du gjøre dette i et engangslommetørkle eller i albuekroken.	False	False	True	False	False	False	False	False
45	Det er viktig å understreke at det fremdeles er svært krevende å reise internasjonalt	False	False	False	False	False	False	False	False
46	Det har senere blitt foretatt endringer i flere omganger, hovedsakelig oppmykinger.	False	False	False	False	False	False	False	False
47	Rutiner for hånd- og hostehygiene: Virksomheten bør legge til rette for at passasjerene kan utføre god hånd- og hostehygiene. Det bør finnes tørkepapir, avfallspunkter og hånddesinfeksjon på utsatte punkter, spesielt i avgangshaller/terminaler, venteområder og på lengre reiser.	False	False	True	False	False	False	False	False
48	Det er for tidlig å konkludere på om de iverksatte tiltakene er effektive. Regjeringen fortsetter derfor med de strenge tiltakene, i første omgang til og med 13. april 2020.	False	False	False	False	False	False	False	False
49	Da må de ansatte ha fleksibilitet som gjør at de i større grad kan jobbe når de har mulighet til det, sier Astrup.	False	False	False	True	False	False	False	False
50	Lokale regler må ikke hindre samfunnsfunksjoner	True	False	False	False	False	False	False	False
51	Fordi vi har lykkes i å slå ned smittespredningen kan vi åpne samfunnet igjen.	False	False	False	False	False	False	False	False
52	De som planlegger en reise må sette seg godt inn i restriksjoner og smittevernregler for det landet man planlegger å reise til.	False	False	False	False	False	False	False	False
53	Det bør også foreligge rutiner for å håndtere situasjoner ved trengsel.	False	False	False	False	False	False	False	False
54	Forlengelsen gjelder foreløpig for 20 dager fra og med 26. mars kl. 08.00.	False	False	False	False	False	False	False	False
55	Etter hvert som nå flere kommer til å reise, trengs det gode og praktiske løsninger for smittevern i offentlig transport, sier samferdselsminister Knut Arild Hareide.	False	False	False	False	False	False	False	False
56	§ 2 bokstav b og ny bokstav f skal lyde:b) utlendingen er omfattet av unntak fra karanteneplikten etter § 5a, 6 eller 6a i forskrift 27. mars 2020 nr. 470 om smitteverntiltak mv. ved koronautbruddet	False	False	False	False	True	False	False	False
57	Mine nordiske kolleger og jeg er enige om å samarbeide tett for å hjelpe nordiske statsborgere. Vi har hatt nær kontakt om arbeidet for å få våre borgere trygt hjem, sier utenriksminister Ine Eriksen Søreide.	False	False	False	False	True	False	False	False
58	Den ekstraordinære situasjonen og behovet for ekstraordinære tiltak, tilsier at en videreføring og stadig endring og tilpasning av tiltakene, bør skje med hjemmel i en ny særlov for covid-19-situasjonen. Det vises til avsnitt 10.2 nedenfor.	False	False	False	False	False	False	False	False
59	Målet er fortsatt det samme, at helsetjenesten skal ha kapasitet til å hjelpe alle som trenger det – både de som blir koronasyke og de som har andre sykdommer.	False	False	False	False	False	False	False	False
60	Mulighet for større fleksibilitet i arbeidstid	False	False	False	True	False	False	False	False
61	Alle som kommer til Norge i dag, blir pålagt innreisekarantene.	False	False	True	False	False	False	False	False
62	Samarbeidet ble innledet 17. mars og skulle vare fram til 31. mars. Ordningen ble først forlenget til 1. mai, men forlenges nå til 1. juni.	False	False	False	False	False	False	False	False
63	Helsetjenesten iverksetter en rekke tiltak for å ha kapasitet til å gi behandling til syke koronasmittede, og samtidig yte øyeblikkelig hjelp og gi behandling til pasienter med annen alvorlig sykdom.	False	False	False	False	False	False	False	False
64	Samferdselsdepartementet, Utenriksdepartementet og flyselskapene samarbeider tett om ordningen.	False	False	False	False	False	False	False	False
65	Her er det Helsedirektoratets anbefalinger og idrettens egne retningslinjer som gjelder. Disse bør følges.	False	False	False	False	False	False	False	False
66	Jeg skjønner at mange er utålmodige, og at det isolert sett finnes gode argumenter for at akkurat «min» aktivitet eller virksomhet skal få åpne nå. Om vi skulle oppfylt alle ønsker ville vi risikert å åpne for raskt og at det blir ny smittespredning.	False	False	False	False	False	False	False	False
67	Folkehelseinstituttet har laget en mal som ulike bransjer, virksomheter, tjenester og organisasjoner kan ta utgangspunkt i ved utarbeidelse av egne smittevernrutiner.	False	False	False	False	False	False	False	False
68	Reiser med plassbestilling: Virksomheten bør sørge for at det ikke selges flere plassbilletter enn det som gjør det mulig å ivareta tilstrekkelig avstand mellom reisende, maks 50 prosent av passasjerkapasiteten på transportmiddelet.	False	False	False	True	False	False	False	False
69	En veileder for smittevern på buss, tog, trikk, passasjerbåt, ferjer og andre offentlige transportmidler er nå klar.	False	False	False	True	False	False	False	False
70	Vi oppfordrer alle til å registrere seg på www.reiseregistrering.no og følge råd og oppfordringer fra myndighetene der de er.	False	False	False	False	False	False	False	True
71	Reiserådet gjelder i første omgang til 14. april.	False	False	False	True	False	False	False	False
72	Det er dialog med selskapene om hvilke strekninger dette gjelder, men det vil fortsatt særlig gjelde de destinasjonene der det nå befinner seg mange nordmenn som er på reise	False	False	False	False	False	False	False	False
73	Det bidrar til å hindre stor konsentrasjon av tilreisende på enkelte steder, noe som gir bedre forutsetninger for overholdelse av smittevernanbefalinger og som hindrer ekstrabelastning på helsevesenet.	False	False	False	False	False	False	False	False
74	Flere EØS-borgere kan komme til Norge	False	False	False	False	False	False	True	False
75	Korona-veileder for kollektivtransporten	False	False	False	True	False	False	False	False
76	Regjeringen la i dag fram planen for videre håndtering av covid-19 og en tidsplan for nedbygging av de mest inngripende tiltakene.	False	False	False	False	False	False	False	False
77	De er også enige om særskilte rammer for arbeidstid i virksomheter som har såkalt samfunnskritiske funksjoner.	False	False	False	True	False	False	False	False
78	Det er også en krevende situasjon for arbeidslivet.	False	False	False	False	False	False	False	False
79	Arbeidsgivere bør sikre at de ansatte kan holde en avstand på minst én meter i hele arbeidstiden	False	False	True	False	False	False	False	False
80	Man skal fortsatt i karantene hvis man har vært i kontakt med smittede personer med mindre enn to meters avstand i mer enn 15 minutter.	False	False	True	False	False	False	False	False
81	Det foreslås at den nye særloven om innreiserestriksjoner knyttet til covid-19 skal gjelde fram til 31. oktober 2020.	False	False	False	False	False	False	False	False
82	Selv om UD fra 15. juli gjør unntak fra reiserådet for de landene som FHI anbefaler, så er ikke det en oppfordring til å reise.	False	False	False	True	False	False	False	False
83	Det følger av det regjeringen kunngjorde 15. mai at en viss videreføring av både karanteneordninger og begrensninger i hvem som får adgang til innreise, må påregnes i alle fall frem til 20. august	False	False	False	False	False	False	True	False
84	Grensekontrollen på indre Schengen-grenser forlenges.	False	False	False	False	False	False	True	False
85	Samtidig vurderer regjeringen allerede oppmyking overfor bl.a. følgende grupper:Personer som er bosatt i land i Norden.Reisende fra enkelte andre nærliggende europeiske land.Tredjelandsborgere som ikke er omfattet av EØS-regelverket og som har fått innvilget søknad om familieinnvandring.Det understrekes at det også foretas løpende vurderinger overfor andre grupper, bl.a. etter innspill fra næringslivet.	False	False	False	False	False	False	True	False
86	Alle reisende bør gis informasjon om at de ikke skal bruke offentlige kommunikasjon dersom de har luftveissymptomer eller hvis de er i hjemmekarantene eller hjemmeisolasjon.	False	False	False	True	False	False	False	False
87	Mange reisende også må belage seg på å bli i det landet de er inntil situasjonen endrer seg, sier utenriksminister Eriksen Søreide.	False	False	False	False	False	False	False	False
88	Barnehagebarn og barn på småskoletrinnet med foreldre som har samfunnskritiske funksjoner, fortsetter å få et tilbud i sin barnehage og skole.	False	False	False	True	False	False	False	False
89	Dette er også et bidrag til den viktige internasjonale dugnaden.	False	False	False	False	False	False	False	False
90	Informasjon og opplæring til ansatte: Virksomheten bør sikre at alle ansatte er kjent med smitteverntiltakene som gjelder for virksomheten, og legge til rette for at disse kan følges.	False	False	False	False	False	False	False	False
91	De med størst risiko for alvorlig sykdom og deres hjelpere er fremdeles høyest prioritert.	False	False	False	False	False	False	False	False
92	For å ivareta tilstrekkelig avstand mellom reisende, bør maks 50 prosent av passasjerkapasiteten på transportmiddelet brukes.	False	False	False	True	False	False	False	False
93	 Dette betyr også at nordiske borgere kan få støtte fra andre nordiske ambassader i land der deres eget hjemland ikke er representert.	False	False	False	False	False	False	False	False
94	Dette vil for eksempel omfatte faglærte og sesongarbeidere i alle næringer.	False	False	False	False	False	False	False	False
95	 Vi ser at antall henvendelser fra nordmenn som har behov for bistand i forbindelse med hjemreise går ned, fordi de aller flest har klart å komme seg hjem.	False	False	False	False	True	False	False	False
96	De nordiske landene vil opprettholde det sterke konsulære samarbeidet i hele verden	False	False	False	False	False	False	False	False
97	Planen for å åpne samfunnet gradvis forutsetter at vi fortsatt har kontroll på smitten.	False	False	False	False	False	False	False	False
98	Jeg er derfor veldig glad for å kunne ønske nye internasjonale studenter velkomne til studiestart i Norge i august, sier forsknings- og høyere utdanningsminister, Henrik Asheim.	False	False	False	False	False	False	False	False
99	Unntaket omfatter også utvekslingselever i videregående opplæring og folkehøyskoleelever.	False	False	False	False	True	False	False	False
100	Det er mange unger som står og tripper for å møte venner og lærere igjen. I neste uke skal de endelig få komme tilbake på skolen.	False	False	False	True	False	False	False	False
101	For at statsansatte skal kunne ivareta viktige funksjoner også under koronakrisen, har staten og de fire hovedsammenslutningene blitt enige om å endre rammene for arbeidstid.	False	False	False	True	False	False	False	False
102	 I tillegg åpnes det for at utlendinger med teknisk kompetanse, som er unntatt kravet om oppholdstillatelse, kan reise inn i Norge.	False	False	False	False	False	False	False	False
103	De europeiske landene som deltar i Schengen-samarbeidet har etter oppfordringer fra EU innført strenge begrensninger på tredjelandsborgeres rett til innreise.	False	False	False	False	False	False	True	False
104	12. mars 2020 iverksatte regjeringen en rekke tiltak i håp om å stanse viruset. Tiltakene er de sterkeste og mest inngripende vi har hatt i Norge i fredstid.	False	False	False	False	False	False	False	False
105	Utenriksdepartementet oppfordrer alle norske borgere som er på reise i utlandet om å vurdere å reise hjem så snart som mulig, på en trygg og rolig måte, i samråd med sitt reise- eller flyselskap.	False	False	False	True	True	False	False	False
106	Rutiner for å holde avstand mellom reisende: Virksomheten bør utarbeide rutiner som gjør det mulig å ivareta tilstrekkelig avstand mellom reisende.	False	False	True	False	False	False	False	False
107	Du kan reise på ferie- og fritidsreiser så lenge du reiser på en måte som unngår å spre smitte.	False	False	False	False	False	False	False	False
108	Samarbeidet innebærer at staten påtar seg å dekke dokumenterbare merkostnader som flyselskaper og reiseoperatører har ved å opprettholde enkelte avganger de ellers ville innstilt, eller å gjøre strengt nødvendige, ekstraordinære flygninger for å fly nordmenn på reise hjem.	False	False	False	False	True	False	False	False
109	Rutiner for renhold: Virksomheten skal sørge for god rengjøring av transportmidler og av andre områder der de reisende oppholder seg som er tilknyttet virksomheten.	False	False	False	False	False	False	False	False
110	 Rådet gjelder frem til 20. august. Innen 15. juni vil det bli vurdert å endre reiserådet til Norden. Innen 20. juli vil det vurderes å endre reiserådet for enkelte andre nærliggende europeiske land.	False	False	False	True	False	False	False	False
111	Det tillates arrangementer med inntil 50 deltakerne på offentlig sted, der deltakerne kan holde minst én meter avstand til hverandre og der det er en ansvarlig arrangør.	False	False	False	True	False	False	False	False
112	 Mange er heldigvis allerede hjemme, men situasjonen er fortsatt uforutsigbar og vi opprettholder ordningen for å kunne fortsette å legge tilrette for hjemreise i ukene som kommer, ved behov.	False	False	False	False	True	False	False	False
113	Forskrift om endringer i forskrift 15. mars 2020 nr. 293 om bortvisning mv. av utlendinger uten oppholdstillatelse i riket av hensyn til folkehelsen	False	False	False	False	True	False	False	False
114	De sentrale partene i staten understreker at det også i en slik situasjon er viktig å ha åpne og gode prosesser i virksomhetene slik at de lokale partene kan finne frem til gode løsninger som ivaretar arbeidsgivers behov for å oppfylle sitt samfunnsoppdrag og arbeidstakers behov for forutsigbarhet og tilstrekkelig vern, skriver de videre.	False	False	False	True	False	False	False	False
115	g) EØS-borgere med slik familietilknytning som nevnt i bokstav b, som skal besøke familiemedlem bosatt i Norge. Det gjøres unntak fra vilkåret i utlendingsloven §110 tredje ledd bokstav c om at slektning i nedstigende linje må være under 21 år	False	False	False	False	False	False	True	False
116	 Innendørs bør folk ha minst to meters avstand til hverandre, men det gjelder ikke de som er i familie eller i samme husstand.	False	False	True	False	False	False	False	False
117	Dersom du har fått påvist eller testes for koronavirus, må du isoleres. Det betyr at du må holde deg hjemme hele tiden og ikke gå ut.	False	False	True	False	False	False	False	False
118	Smitteutviklingen i Europa er fortsatt uoversiktlig og kan endre seg raskt.	False	False	False	False	False	False	False	False
119	Samarbeidet med flyselskapene og reiseselskapene for å få nordmenn hjem forlenges til 1. juni	False	False	False	False	True	False	False	False
120	Det er økende smittetall for koronaviruset i mange land og situasjonen i land som opplever større utbrudd av viruset endrer seg fort og er uforutsigbar.	False	False	False	False	False	False	False	False
121	Det anbefales å holde en avstand på minst en meter til andre medpassasjerer på offentlige transportmidler.	False	False	True	False	False	False	False	False
122	Dagens bortvisningsforskrift er gitt med hjemmel i smittevernloven § 7-12.	False	False	False	False	False	False	False	False
123	Felles kontaktpunkter bør rengjøres hyppig, flere ganger daglig. Vanlige rengjøringsmetoder og -midler kan benyttes. Eksisterende renholdsrutiner bør gjennomgås for å sikre tilstrekkelig godt renhold.	False	False	False	False	False	False	False	False
124	Innreisekarantene	False	False	True	False	False	False	False	False
125	Jeg vil berømme landets kommuner for å ta smittespredning på alvor.	True	False	False	False	False	False	False	False
126	Idrettshaller kan åpne. Det er forbud mot bruk av garderober i idrettshaller.	False	False	True	False	False	False	False	False
127	Gjennom beslutning av Kongen i statsråd 15. mars i år ble det innført strenge begrensninger for utlendingers rett til innreise i Norge, jf. forskrift 15. mars 2020 nr. 293 om bortvisning mv. av utlendinger av hensyn til folkehelsen (bortvisningsforskriften).	False	False	False	False	False	False	True	False
128	Indre grensekontroll videreføres	False	False	False	False	False	False	True	False
129	Når vi nå løser opp på tiltakene forutsetter det at vi beholder kontrollen på smitten, med økt testing, isolering, smittesporing og karantene, sier Høie.	False	True	True	False	False	False	False	False
130	Grensekontrollen er forlenget på luft-, sjø- og landegrensen.	False	False	False	False	False	False	True	False
131	Dersom du har vært på utenlandsreise skal du være i karantene i 14 dager fra den dagen du kom hjem.	False	False	True	False	False	False	False	False
132	ersom du ser at det er trengsel på transportmiddelet du hadde planlagt å reise med, bør du vurdere å vente til neste avgang eller å utsette reisen ytterligere.	False	False	False	False	False	False	False	False
133	Årsaken er økningen i utbredelse av koronaviruset internasjonalt og den uforutsigbare og vanskelige situasjonen for mange reisende.	False	False	False	False	False	False	False	False
134	So far, around 3,800 Norwegians have returned to Norway with the help of flights supported by the co-operation scheme between the Norwegian authorities, the airlines and the travel companies.	False	False	False	False	True	False	False	False
135	Utenlandsreiser frarådes fortsatt.	False	False	False	True	False	False	False	False
136	Vi må forhindre internasjonal spredning, og er særlig bekymret for hva som vil skje når viruset sprer seg i mer sårbare land med svake helsesystemer, sier utenriksministeren.	False	False	False	False	False	False	False	False
137	Tromsø kommune har vedtatt karantene for besøkende fra Oslo, Agder, Rogaland, Viken, Vestfold og Telemark, Innlandet og Vestland.	False	False	True	True	False	False	False	False
138	Dette vil gjelde både for studenter med rett til studieopphold etter EØS-reglene og studenter med oppholdstillatelse for studieopphold etter reglene som gjelder for tredjelandsborgere.	False	False	False	False	True	False	False	False
139	I tillegg har mange av Schengen-statene innført restriksjoner på adgangen til innreise over de indre grensene.	False	False	False	False	False	False	True	False
140	Land kan svært raskt innføre reiserestriksjoner, tvungen karantene ved innreise fra land med koronavirus, og grenser kan bli stengt, flyavganger kansellert eller andre tiltak iverksettes.	False	False	False	False	False	False	False	False
141	Karanteneplikten endres fra 14 til 10 døgn.	False	True	True	False	False	False	False	False
142	Regjeringen jobber kontinuerlig med å finne den riktige balansen mellom hensynet til smittevern og andre viktige samfunnshensyn.	False	False	False	False	False	False	False	False
143	Rådene fra helsemyndighetene inneholder også råd for reiser hos dem som er i risikogrupper, og hvordan og når man kan reise sammen på tvers av generasjoner i en familie.	False	False	False	False	False	False	False	False
144	Det gir også en tilleggsbeskyttelse. Å begrense antall tilreisende minsker den generelle personmobiliteten i samfunnet og dermed også smittespredningen.	False	False	False	False	False	False	False	False
145	At vi letter på tiltakene kan gi et inntrykk av at virusutbruddet er i ferd med å gå over - det er det ikke. Det er måten vi håndterer utbruddet på som endrer seg, sier helse- og omsorgsminister Bent Høie.	False	False	False	False	False	False	False	False
146	Mange aktører, på tvers av offentlig og privat sektor, har tatt et kollektivt ansvar for å bistå nordmenn på reise hjem, sier samferdselsminister Knut Arild Hareide.	False	False	False	False	True	False	False	False
147	. Ansatte eller oppdragstakere som står for gjennomføringen av arrangement på offentlig sted skal ikke regnes som en del av arrangementet. Deres rolle bør avklares i egne bransjestandarder.	False	False	False	False	False	False	False	False
148	Lokale regler for å hindre koronasmitte må ikke stoppe viktige funksjoner. Fylkesmennene får nå i oppdrag å bistå kommunene i utarbeidelsen av slike regler.	True	False	False	False	False	False	False	False
149	I tillegg har UD fra 15. juni gjort unntak for reiser til områder i Norden der smittespredningen er innenfor FHIs kriterier.	False	False	False	True	False	False	False	False
150	Alle virksomheter i serveringsbransjen, med unntak av serveringssteder der det foregår servering av mat, det vil si kantiner og spisesteder som kan legge til rette for at besøkende kan holde minst 1 meters avstand, holdes stengt.	False	False	True	False	False	False	False	False
151	Regjeringen viderefører alle tiltakene som er iverksatt for å bekjempe utbruddet av koronavirus i Norge frem til over påske, til og med 13. april.	False	False	False	False	False	False	False	False
152	Oppdatert reiseinformasjon for alle land ligger på regjeringen.no/reiseinformasjon.	False	False	False	True	False	False	False	True
153	Koronaloven var en midlertidig lov som ble opphevet 27. mai 2020.	True	False	False	False	False	False	False	False
154	Revidert rundskriv om ikrafttredelse av forskrift om bortvisning mv. av utlendinger uten oppholdstillatelse i riket av hensyn til folkehelse	False	False	False	False	True	False	False	False
155	Tiltakene ser ut til å bremse smitten, men vi trenger mer tid for å se hvilken effekt de har. Regjeringen har fastsatt en strategi for å begrense smittespredningen som innebærer at hver enkelt som er smittet maksimalt skal smitte én annen person.	False	False	False	False	False	False	False	False
156	Reglene for karantene ved innreise til Norge fra utlandet (reisekarantene) videreføres med de unntak og presiseringer som gjelder i dag.	False	False	True	False	False	False	False	False
157	Det skjer blant annet ved å teste mistenkte tilfeller av covid-19 slik at smittesporing og tiltak kan iverksettes ved behov.	False	False	True	False	False	False	False	False
158	Flere kommuner har innført lokale karanteneregler for å hindre spredning av koronaviruset.	True	False	False	False	False	False	False	False
159	 Jeg vet at mange institusjoner gleder seg veldig til å ta imot sine nye internasjonale studenter, og det gjør jeg også.	False	False	False	False	False	False	False	False
160	Kulturarrangementer, idrettsarrangementer og organisert idrettsaktivitet både innendørs og utendørs er forbudt.	False	False	False	True	False	False	False	False
161	Reiserådet endres for land som unntas karanteneplikt ved innreise til Norge, det vil si land som tilfredsstiller Folkehelseinstituttets smittekriterier, sier utenriksminister Ine Eriksen Søreide.	False	False	False	True	False	False	False	False
162	Jeg vil anbefale folk å planlegge for Norgesferie i sommer. Norge er et vakkert ferieland, og selv om årets ferie blir annerledes enn vi hadde planlagt, er jeg sikker på at den kan bli veldig fin.	False	False	False	False	False	False	False	False
163	Forlenger grensekontroll på indre Schengen-grense	False	False	False	False	False	False	True	False
164	Vi oppfordrer flyselskaper og reiselivsbransjen til å fortsette det viktige arbeidet de allerede har startet med å få alle sine kunder hjem.	False	False	False	False	True	False	False	False
165	Informasjon til reisende: Virksomheten bør sørge for å gjøre tilgjengelig informasjon om anbefalte smitteverntiltak for de reisende, for eksempel ved å henge opp plakater på holdeplasser, inne på transportmidlene mv.	False	False	False	True	False	False	False	True
166	Barnehagene, skolene og universitetene er stengt	False	False	False	True	False	False	False	False
167	Det viktigste er å sikre at de som blir alvorlig syke, enten av korona eller andre årsaker, kan få hjelp i helsetjenesten. Og at helsetjenesten ikke blir overbelastet.	False	False	False	False	False	False	False	False
168	Reglene om karantene vil imidlertid gjelde også for arbeidskraft fra EØS-området.	False	False	True	False	False	False	False	False
169	Når man er ute, bør man ikke være mer enn fem personer sammen i gruppe – med unntak av de som er i familie eller i samme husstand.	False	False	False	True	False	False	False	False
170	Hver enkelt bør tenke nøye gjennom om det er nødvendig å reise, sier Eriksen Søreide.	False	False	False	False	False	False	False	False
171	Håndteringen av covid-19-pandemien må derfor legges opp på en slik måte at vi til enhver tid har kontroll på smittespredningen og har god helseberedskap til egen befolkning.	False	False	False	False	False	False	False	False
172	Midlertidig lov om forskriftshjemmel for å avhjelpe konsekvenser av utbrudd av Covid-19 mv. (koronaloven)	True	False	False	False	False	False	False	False
173	Justis- og beredskapsdepartementet foreslår et nytt lovgrunnlag for å videreføre midlertidige innreisebegrensninger så lenge covid-19-pandemien gjør det nødvendig.	False	False	False	False	False	False	True	False
